,OperatingUnit,AASpecialist,AwardTitle,AwardDescription,Sector,Code,AmountRange,Incumbent,AwardActionType,SmallBusinessSetAside,FiscalYearofAction,AnticipatedAwardDate_raw,AnticipatedSolicitationReleaseDate_raw,AwardLength,SolicitationNumber,BusinessForecastStatusChange,Location,LastModifiedDate_raw,BaseAmount,CeilingAmount,AnticpatedAwardDate,AnticipatedSolicitationReleaseDate,LastModifiedDate
11,Bureau for Food Security (FS),Paul Burford,Seed Systems Support,"Seed Systems - Will focus on Inclusive and sustainable agriculture-led economic growth, and strengthened resilience among people and systems. A Leader with Associates Cooperative Agreement is anticipated.",Agriculture and Food Security,,$25M - $49.99M,,Cooperative Agreement,,2018.0,9/30/2018,2/07/2018,5 years,,New Opportunity Not Previously Forecasted,Washington,3/01/2018,25000000.0,49990000.0,2018-09-30,2018-02-07,2018-03-01
12,Bureau for Food Security (FS),Paul Burford,Technology and Commercialization Partnerships,Technology and Commercialization Partnerships **UPDATE** - This opportunity will be removed from the business forecast as USAID considers its options and the future of this type of activity.,Agriculture and Food Security,,$4M - $9.99M,,To Be Determined (TBD),,2018.0,3/31/2018,6/30/2017,,,Cancellation,Washington,10/31/2017,4000000.0,9999000.0,2018-03-31,2017-06-30,2017-10-31
13,Bureau for Middle East (ME),Francine Gigot,Governance Integration for Stabilization and Resilience (GISR) in MENA,"GISR will provide USAID MENA based Missions and the Middle East Bureau the means to respond to shocks and stressors through integrated pilot and scalable activities by (1) positioning USAID operating units to provide rapid responses to unexpected shocks in governance, stabilization, and resilience programming in MENA; (2) applying learning and adaptive management expertise to governance, stabilization, and resilience programs that are experiencing unexpected shocks; and (3) testing pilot programming through integrated and scalable activities that support Mission development objectives.","Democracy, Human Rights, and Governance",,$50M - $99.99M,,GSA Task/Delivery Order (GSA TO/DO),TBD,2018.0,9/27/2018,4/27/2018,5 years,,,Washington,2/02/2018,50000000.0,99990000.0,2018-09-27,2018-04-27,2018-02-02
14,Office of Security (SEC),Maria Munoz,Technical Support Staff for the USAID Office of Security,"To procure intelligence and security support services to support USAID Office of Security, Counterterrorism, Counterintelligence, and Personnel Security Programs. Note: This opportunity has been cancelled.",Management,541690.0,$10M - $24.99M,"Veteran Solutions, Inc.",To Be Determined (TBD),8(a) set-aside,2018.0,5/12/2018,1/31/2018,5 years,TBD,Cancellation,Washington,1/17/2018,10000000.0,24990000.0,2018-05-12,2018-01-31,2018-01-17
15,U.S. Global Development Lab (LAB),"Bonner, Trenae",CDR/HESN: Mechanism #1- RTAC (Research Technical Assistance Center),"USAID's LAB/CDR team seeks to identify and support a Research Technical Assistance Center (RTAC) to support scientific and research-based technical assistance (TA) needs for the Agency by leveraging the technical and research expertise of the higher education community. RTAC will provide timely research-based technical assistance that facilitates USAID's capability to make quick, evidence-based programming decisions.  Anticipated activities include: creation of evidence-to-action policy briefs, technical reports, strategic research agenda setting and research activity consultations, coordination of university-based researchers for expert panels or convenings, sector-focused trainings, and other short-term technical assistance (STTA) or related TA. CDR anticipates that the successful RTAC Prime will establish and maintain a network of individual graduate students, faculty, and researchers with current academic affiliations, who would apply directly to the RTAC Prime to participate as a part of the RTAC Partner Pool.",U.S. Global Development Lab,541990.0,$10M - $24.99M,,Contract,TBD,2018.0,6/30/2018,1/30/2018,4 years,7200AA18R00023,New Opportunity Not Previously Forecasted,Washington,3/04/2018,10000000.0,24990000.0,2018-06-30,2018-01-30,2018-03-04
16,U.S. Global Development Lab (LAB),"Bonner, Trenae","CDR/HESN: Mechanism #3- STIP APS-LAB/CDR Addendum on ""Accelerating Local Potential""","Through the STIP APS-Addendum on ""Accelerating Local Potential,""  CDR is seeking to support innovative and catalytic partnerships between whole departments, universities, or consortia of academic institutions in LMICs and in the U.S.  These institutional partnerships should go beyond traditional “capacity building” such as training, construction or equipment purchases and faculty/student exchange models, to accelerate sustainable human and institutional capacity within LMIC institutions",U.S. Global Development Lab,,"$500,000 - $999,999",,To Be Determined (TBD),,2018.0,7/31/2018,3/05/2018,3 years,7200AA18APS00003,New Opportunity Not Previously Forecasted,Washington,3/04/2018,500000.0,999999.0,2018-07-31,2018-03-05,2018-03-04
17,Office of U.S. Foreign Disaster Assistance (DCHA/OFDA),TBD,Leveraging Academic Partnerships in Operational Humanitarian Environments,The expectation of this APS is to leverage existing or emerging academic research through partnerships with operational humanitarian assistance partners working in chronically vulnerable environments.,Working in Crises and Conflict,,$4M - $9.99M,,Cooperative Agreement,,2018.0,9/28/2018,3/30/2018,1 year,,New Opportunity Not Previously Forecasted,Washington,1/18/2018,4000000.0,9999000.0,2018-09-28,2018-03-30,2018-01-18
18,Office of U.S. Foreign Disaster Assistance (DCHA/OFDA),TBD,RAPID III RFA,"USAID/OFDA has supported the Responding to Pakistan’s Internally Displaced (RAPID) funding mechanism since 2009.  RAPID Phase Three will continue to address urgent humanitarian and early recovery needs of vulnerable populations throughout Pakistan by linking short term immediate assistance with broader long-term development goals.  Vulnerable populations in Pakistan remain in need of humanitarian assistance to address both conflict and natural hazard-induced displacements. The need for humanitarian assistance can occur both during initial displacement, and during initial return to previously impacted areas where critical infrastructure may have been destroyed. The RAPID program will provide essential immediate, non-long-term, assistance, while seeking to provide a bridge to longer-term development assistance, wherever possible.",Working in Crises and Conflict,,$10M - $24.99M,,Cooperative Agreement,,2018.0,9/28/2018,11/09/2017,5 years,720FDA18RFA00002,Combination of Changes,Washington,1/18/2018,10000000.0,24990000.0,2018-09-28,2017-11-09,2018-01-18
19,Office of U.S. Foreign Disaster Assistance (DCHA/OFDA),TBD,Syria Humanitarian Assistance Consortium,"The goal of this APS is to address the multi-sectoral urgent humanitarian needs of populations affected by the conflict inside Syria. USAID/OFDA aims to solicit applications for consortia to enhance direct coordination of multi-sectoral services in the health, WASH, and shelter sectors as well as to achieve efficiencies in humanitarian operations and response. Prospective applicants will be expected to address how proposed projects will ensure continuous monitoring and analysis of the humanitarian situation. USAID/OFDA anticipates making up to four awards based on area of operation.  USAID/OFDA would like to receive concept notes in late February, and will then invite successful consortiums to submit full proposals by the end of April.",Working in Crises and Conflict,,$100M - $299.99M,,Cooperative Agreement,,2018.0,9/28/2018,1/12/2018,2 years,,Combination of Changes,Washington,1/11/2018,100000000.0,299990000.0,2018-09-28,2018-01-12,2018-01-11
20,Office of U.S. Foreign Disaster Assistance (DCHA/OFDA),TBD,TBD,"The purpose of the APS will be to establish standby capacity with OFDA implementing partners and will include multi-sectoral activities under Health, WASH, Protection, Livelihoods, Livestock and Multi-Purpose Cash. Standby capacity will ensure that OFDA partners maintain core technical and operational capacities to rapidly scale up and augment existing capacity when OFDA’s criteria for response are met. This may include activities such as contingency planning, the development of adaptation of toolkits, training or technical guidance, rapid response teams and coordination, to ensure rapid response to infectious diseases outbreaks with epidemics or pandemic potential that reach the scale of a humanitarian emergency (Level 3 IASC activation for an infectious disease event) and that have been declared a Public Health Emergency of International Concern PHEIC or PHEIC-equivalent).",Working in Crises and Conflict,,$4M - $9.99M,,Cooperative Agreement,,2018.0,9/28/2018,11/30/2017,,,New Opportunity Not Previously Forecasted,Washington,1/18/2018,4000000.0,9999000.0,2018-09-28,2017-11-30,2018-01-18
21,Office of Economic Policy (E3/EP),Patrice Lee,New LPFM III Task Order (Leadership in Public Financial Management),New LPFM III Task Order -Leadership in Public Financial Management,Economic Growth and Trade,541990.0,$10M - $24.99M,Nathan Associates,Task Order/Delivery Order (TO/DO),,2018.0,9/28/2018,6/29/2018,5 years,,,Washington,3/01/2018,10000000.0,24990000.0,2018-09-28,2018-06-29,2018-03-01
22,Office of Education (E3/ED),Lorena Marko,E3ED_Data and Evidence for Education Programs (DEEP),"E3ED_Data and Evidence for Education Programs (DEEP) 
(previously listed on the forecast as TIDE). Includes collecting, analyzing and reporting data to measure progress toward the goals of the Education Strategy. The solicitation will be issued under the Professional Services Schedule, Business Consulting Solutions SIN 874 1.",Education,541990.0,$10M - $24.99M,N/A This is a new activity.,GSA Task/Delivery Order (GSA TO/DO),Total set-aside,2018.0,5/17/2018,3/09/2018,5 years,,Change in Award Description,Washington,3/01/2018,10000000.0,24990000.0,2018-05-17,2018-03-09,2018-03-01
23,Office of Energy & Infrastructure (E3/EI),Selam Demissie,Energy IDIQ II,Follow-on award to the Clean Energy IDIQ,Environment and Global Climate Change,,$500M - $749.99M,Multiple firms,Indefinite Delivery Indefinite Quantity Contract (IDIQ),Partial set-aside,2018.0,9/30/2018,12/14/2017,5 years,SOL-OAA-17-000108,Combination of Changes,Washington,3/01/2018,500000000.0,749990000.0,2018-09-30,2017-12-14,2018-03-01
24,Office of Forestry & Biodiversity (E3/FAB),Sharon Baker,Sharing Environment and Energy Knowledge (SEEK),"Sharing Environment and Energy Knowledge (SEEK) -  The solicitation will be issued under the Professional Services Schedule, Business Consulting Solutions SIN 874 1.",Environment and Global Climate Change,,$10M - $24.99M,TBD,GSA Task/Delivery Order (GSA TO/DO),Total set-aside,2018.0,4/30/2018,3/02/2018,5 years,,Change in Anticipated Solicitation Date,Washington,3/01/2018,10000000.0,24990000.0,2018-04-30,2018-03-02,2018-03-01
25,Office of Forestry & Biodiversity (E3/FAB),Lorena Marko / Sharon Baker,Targeting Natural Resource Corruption,Targeting Natural Resource Corruption,Environment and Global Climate Change,,$4M - $9.99M,,Leader with Associate Award (LWA),,2018.0,8/01/2018,3/14/2018,5 years,,Change in Award Title,Washington,2/27/2018,4000000.0,9999000.0,2018-08-01,2018-03-14,2018-02-27
26,Center for Accelerating Innovation and Impact (GH/CAII),J. Hamilton,Accelerating Scale - Human Centered Design,Human Centered Design Services,Global Health,541611.0,$10M - $24.99M,Dalberg Consulting,GSA Task/Delivery Order (GSA TO/DO),,2018.0,5/04/2018,12/11/2017,3 years,RFQ1231879/ SOL-OAA-17-000111,New Opportunity Not Previously Forecasted,Washington,1/18/2018,10000000.0,24990000.0,2018-05-04,2017-12-11,2018-01-18
27,Office of HIV/AIDS (GH/OHA),Kathleen Bumpass,NextGen GHSMA (Global Health SIMS Mobile Application Project II),"Provide BGH/OHA with high quality products and services to promote mobile data collection, data management, reporting, and advanced analytics services to support the Site Improvement through Monitoring System (SIMS) and other health data collection initiatives. New Contract with estimated TEC of $6.5 million. Estimated award date - July 2018.",Global Health,,$4M - $9.99M,,Contract,Total set-aside,2018.0,7/31/2018,2/09/2018,,7200AA18R00027,Combination of Changes,Washington,2/09/2018,4000000.0,9999000.0,2018-07-31,2018-02-09,2018-02-09
28,Office of Health Systems (GH/OHS),A. Tusjak/B. Boncheva,Integrated Health Systems IDIQ,Integrated Health Systems Improvement Program - Field Implementation and Technical Support IDIQ,Global Health,541990.0,$300M - $499.99M,,Indefinite Delivery Indefinite Quantity Contract (IDIQ),Partial set-aside,2018.0,8/31/2018,3/09/2018,5 years,SOL-OAA-17-000123,Change in Anticipated Solicitation Date,Washington,2/15/2018,300000000.0,499990000.0,2018-08-31,2018-03-09,2018-02-15
29,Office of Health Systems (GH/OHS),A. Tusjak/B. Boncheva,Integrated Health Systems TO,Integrated Health Systems Improvement Program - Field Implementation and Technical Support TO #1 under IHS IDIQ,Global Health,541990.0,$100M - $299.99M,,Task Order/Delivery Order (TO/DO),,2018.0,9/30/2018,3/09/2018,,,Change in Anticipated Solicitation Date,Washington,2/15/2018,100000000.0,299990000.0,2018-09-30,2018-03-09,2018-02-15
30,Office of Infectious Disease (GH/ID),P Bradley,Control and Elimination Project for Neglected Tropical Diseases (CEP-NTDs) 1 of 4,"The U.S. Agency for International Development (USAID), through the Control and Elimination Program for Neglected Tropical Diseases (CEP-NTD), seeks to support disease-endemic countries to control and/or eliminate NTDs with proven, cost-effective public health interventions.  Building on the successes that have been achieved through previous USAID investments to expand national, integrated NTD programs, CEP-NTDs will continue to support countries in their advancement towards the attainment of global elimination goals, and to support them to effectively access and leverage the drug donations needed to control NTDs that cannot be eliminated with current strategies.  To this end, USAID intends to issue one or more award(s) that will provide technical assistance, capacity building, and support program implementation while leveraging private sector and pharmaceutical sector resources.",Global Health,,$300M - $499.99M,"RTI International
FHI 360",Cooperative Agreement,,2018.0,9/30/2018,1/22/2018,5 years,,New Opportunity Not Previously Forecasted,Washington,3/01/2018,300000000.0,499990000.0,2018-09-30,2018-01-22,2018-03-01
31,Office of Infectious Disease (GH/ID),P Bradley,Control and Elimination Project for Neglected Tropical Diseases (CEP-NTDs) 3 of 4,"The U.S. Agency for International Development (USAID), through the Control and Elimination Program for Neglected Tropical Diseases (CEP-NTD), seeks to support disease-endemic countries to control and/or eliminate NTDs with proven, cost-effective public health interventions.  Building on the successes that have been achieved through previous USAID investments to expand national, integrated NTD programs, CEP-NTDs will continue to support countries in their advancement towards the attainment of global elimination goals, and to support them to effectively access and leverage the drug donations needed to control NTDs that cannot be eliminated with current strategies.  To this end, USAID intends to issue one or more award(s) that will provide technical assistance, capacity building, and support program implementation while leveraging private sector and pharmaceutical sector resources.",Global Health,,$300M - $499.99M,"RTI International
FHI 360",Cooperative Agreement,,2018.0,9/30/2018,1/22/2018,5 years,,New Opportunity Not Previously Forecasted,Washington,3/01/2018,300000000.0,499990000.0,2018-09-30,2018-01-22,2018-03-01
32,Office of Infectious Disease (GH/ID),P Bradley,Control and Elimination Project for Neglected Tropical Diseases (CEP-NTDs) 4 of 4,"The U.S. Agency for International Development (USAID), through the Control and Elimination Program for Neglected Tropical Diseases (CEP-NTD), seeks to support disease-endemic countries to control and/or eliminate NTDs with proven, cost-effective public health interventions.  Building on the successes that have been achieved through previous USAID investments to expand national, integrated NTD programs, CEP-NTDs will continue to support countries in their advancement towards the attainment of global elimination goals, and to support them to effectively access and leverage the drug donations needed to control NTDs that cannot be eliminated with current strategies.  To this end, USAID intends to issue one or more award(s) that will provide technical assistance, capacity building, and support program implementation while leveraging private sector and pharmaceutical sector resources.",Global Health,,$300M - $499.99M,"RTI International
FHI 360",Cooperative Agreement,,2018.0,9/30/2018,1/22/2018,5 years,,New Opportunity Not Previously Forecasted,Washington,3/01/2018,300000000.0,499990000.0,2018-09-30,2018-01-22,2018-03-01
33,Office of Infectious Disease (GH/ID),Erica R. Bigelow,Infectious Disease Detection and Surveillance (IDDS) [ID],"The purpose of this contract is to provide implementation support services and technical assistance to countries to develop or improve national diagnostic networks, laboratory systems and surveillance mechanisms capable of detecting and monitoring diseases of public health importance, and identifying antimicrobial resistance. Support will be in line with the Global Health Security Agenda, the U.S. Government Global Tuberculosis Strategy and other disease-specific diagnostic and surveillance strategies as indicated.",Global Health,541690.0,$50M - $99.99M,None,GSA Task/Delivery Order (GSA TO/DO),,2018.0,9/29/2017,7/14/2017,5 years,SOL-OAA-17-000055,New Opportunity Not Previously Forecasted,Washington,10/10/2017,50000000.0,99990000.0,2017-09-29,2017-07-14,2017-10-10
34,Office of Maternal and Child Health and Nutrition (GH/MCHN),E. Bigelow,Multi-Sectoral Nutrition Activity,Multi-Sectoral Nutrition Activity,Global Health,,$300M - $499.99M,,Contract,,2018.0,4/30/2018,4/13/2017,5 years,,Change in Award Date,Washington,2/15/2018,300000000.0,499990000.0,2018-04-30,2017-04-13,2018-02-15
35,Office of Professional Development & Management Services (GH/PDMS),Samantha L. Corey,GH/PDMS Program Manager 2 of 2,GH/PDMS Program Manager 2 of 2,Global Health,,"$500,000 - $999,999",TBD,Personal Services Contract (PSC),,2018.0,9/30/2018,7/14/2016,2 years,SOL-OAA-16-000153,Combination of Changes,Washington,1/18/2018,500000.0,999999.0,2018-09-30,2016-07-14,2018-01-18
36,Office of Acquisition and Assistance (M/OAA),,CPA firm audits,CPA firm audits,Management,,$1M - $3.99M,,Blanket Purchase Agreement (BPA),TBD,2018.0,9/30/2018,6/30/2018,,,,Washington,2/16/2018,1000000.0,3900000.0,2018-09-30,2018-06-30,2018-02-16
37,Office of Acquisition and Assistance (M/OAA),Abdulaziz Yousuf,Professional Services for M/OAA,Provide administrative and  clerical support services for the M Bureau and Office of Acquisition and Assistance,Management,,$4M - $9.99M,,Contract,8(a) set-aside,2017.0,9/29/2017,7/28/2017,5 years,,New Opportunity Not Previously Forecasted,Washington,10/06/2017,4000000.0,9999000.0,2017-09-29,2017-07-28,2017-10-06
38,"Office of Management Policy, Budget, and Performance (M/MPBP)",TBD,New PSC Contract for M-MPBP,"New PSC to replace current PSC (AID-OAA-S-11-00049).  This current award ends October 10, 2017.  One base year with four option years.",Management,,"$150,000 - $499,999",,Personal Services Contract (PSC),,2017.0,10/10/2017,4/03/2017,5 years,,,Washington,10/06/2017,150000.0,499999.0,2017-10-10,2017-04-03,2017-10-06
40,Afghanistan,Joseph Tembo,Afghan Urban Water and Sanitation,The purpose of this effort is to increase access to urban water and sanitation services for residents in six Afghan cities by improving the ability of the Afghan institutions to deliver sustainable services that better meet the needs of their customers.,Water and Sanitation,541990.0,$25M - $49.99M,TBD,Contract,,2018.0,11/15/2018,3/28/2018,5 years,TBD,Change in Anticipated Solicitation Date,Overseas,2/25/2018,25000000.0,49990000.0,2018-11-15,2018-03-28,2018-02-25
41,Afghanistan,Assefa Abebe,Afghanistan Competitiveness for Export-Oriented Businesses Program,The purpose of Afghanistan Competitiveness for Export-Oriented Businesses Program is to support and enhance the market-driven growth of Afghan SMEs associated with export-oriented value chains and enterprise clusters in Afghanistan. This will be achieved through a direct technical and in-kind support of leading afghan exporters and relevant supply/value chain.,Economic Growth and Trade,541614.0,$50M - $99.99M,,To Be Determined (TBD),,2018.0,10/15/2018,6/25/2018,5 years,TBD,,Overseas,3/04/2018,50000000.0,99990000.0,2018-10-15,2018-06-25,2018-03-04
42,Afghanistan,Spogmai Haidari,Conflict Mitigation for Assistance for Civilians,"At the request of the GIRoA, the COMAC activity will assist Afghan families and communities suffering losses from military operations against the Taliban and other insurgent groups.  COMAC will facilitate coordination of programs, systems and processes to ensure the efficient and timely delivery of assistance from all available resources.  COMAC will also build the capacity of the Afghan government to provide services while ensuring the proactive collaboration of relevant local government and traditional governance structures to assist victims of the conflict (per established eligibility criteria).","Democracy, Human Rights, and Governance",,$25M - $49.99M,,Cooperative Agreement,,2018.0,2/28/2018,9/30/2017,5 years,,,Overseas,10/06/2017,25000000.0,49990000.0,2018-02-28,2017-09-30,2017-10-06
43,Afghanistan,Irdees Rahem,Promote Scholarship Endowment,"The Promote Scholarship Endowment (PSE) provides an endowment to fund higher education scholarships for qualified Afghan women in perpetuity. The endowment enhances women’s empowerment and gender equity, an Intermediate Result in the current strategic framework, by assisting Afghan women in obtaining a university or graduate education, better enabling them to serve in positions of influence in the public and private sectors. The endowment merges with other Promote components to create a full suite of empowerment activities, supporting women from the beginning of their higher education through attaining a professional position. Establishing a permanent endowment also preserves empowerment successes by sustaining long-term educational assistance.

It is precisely because of these development successes that the U.S. government identified a gap in women’s programming - the newfound ability of women to access education and participate in society has resulted in thousands of young women graduating with limited post-graduate opportunities from high schools and universities every year. However, international support is essential to assisting women of all educational attainment levels in overcoming barriers to gaining employment, raising their incomes and achieving leadership roles in their families, communities and the government. To overcome instability and terrorism, Afghanistan requires a balance of voices and perspectives in its national dialog.
Women’s education is an essential development investment to secure a more peaceful, prosperous and resilient country, and women’s empowerment is a critical component in the war against terrorism. An endowment to provide university scholarships for Afghan women will insulate the endowed organization from unpredictable government and donor agency budget fluctuations, allowing an awardee to continue this critical and foundational component of support in a turbulent and insecure environment. Therefore, USAID is investing foreign assistance resources in the PSE to ensure funding stability in the long term.",Gender Equality and Women's Empowerment,,$50M - $99.99M,,Cooperative Agreement,,2018.0,10/31/2018,4/30/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/27/2018,50000000.0,99990000.0,2018-10-31,2018-04-30,2018-02-27
44,Afghanistan,Khan Mohammad Zamani,Public Awareness Campaign in Afghanistan through Multi-media Platforms,"The purpose of this award is to assist USAID to design, produce, place, and monitor a yearlong intensive multi-media dissemination campaign throughout Afghanistan",U.S. Global Development Lab,,"$150,000 - $499,999",,Purchase Order,,2018.0,12/15/2017,11/15/2017,1 year,,,Overseas,10/19/2017,150000.0,499999.0,2017-12-15,2017-11-15,2017-10-19
45,Afghanistan,Sayed M. Wasim,Trade Show Support Activity (TSSA),"To support export facilitation through managing and organizing trade shows, business events, exhibitions and other fora where Afghan businesses can interact with potential buyers and importers.",Economic Growth and Trade,561920.0,$1M - $3.99M,,Contract,8(a) set-aside,2018.0,4/30/2018,3/11/2018,2 years,TBD,Change in Anticipated Solicitation Date,Overseas,3/04/2018,1000000.0,3900000.0,2018-04-30,2018-03-11,2018-03-04
46,Bangladesh,Ahsanur Rahman,Bangladesh Zero TB Cities Project,"The Bangladesh Zero TB Cities Project will provide a comprehensive package of TB prevention, detection, diagnosis, and treatment services in high TB transmission areas and people at high risk of TB infection and disease in urban Bangladesh.  Its objective is to decrease TB deaths through increased TB treatment coverage.  Essential activities include (1) case detection through targeted active case finding and screening; (2) testing through use of new diagnostics; (3) treatment through expanded directly-observed treatment (DOT) and use of shorter treatment regimens and new drugs for drug-resistant TB; and (4) contact investigation and post-exposure therapy for people at high risk of TB infection.  The project will enable this provision of services through health systems strengthening measures, including (1) strengthening the policy environment for urban TB control; (2) increasing integration of urban TB services into other health platforms; and (3) facilitating linkages between urban TB service organizations and social support organizations.  Project outputs and outcomes will be tracked through effective data collection, analysis, monitoring, and reporting procedures and applications developed at points along a continuum of care.  The project will also support operations research on innovative TB prevention, screening, diagnostic, and treatment approaches.",Global Health,,$25M - $49.99M,,Cooperative Agreement,,2018.0,8/30/2018,3/29/2018,5 years,TBD,Change in Anticipated Solicitation Date,Overseas,3/03/2018,25000000.0,49990000.0,2018-08-30,2018-03-29,2018-03-03
47,Bangladesh,TBD,USAID's Read to Learn Activity,"The primary purpose of the Shekhar Jonno Pori (""Read to Learn"") activity is to provide direct technical assistance to the Government of Bangladesh and its sector-wide Fourth Primary Education Development Program (PEDP4), as well as to schools and teachers.  The technical assistance will take the form of training services, provision and dissemination of goods such as teaching and learning materials, national and sub-national assessment design and implementation.  The activity will foster partnerships between schools and families to enhance opportunities for children to read outside of school and in the home.  Furthermore, USAID will require the acquisition of surveys, studies and research to inform USAID and the Government of Bangladesh programming.  The activity aligns with the USAID Education Strategy to improve the reading skills of students in primary grades.",Education,,$50M - $99.99M,Save the Children,Contract,,2018.0,9/30/2018,4/15/2018,5 years,TBD,Change in Anticipated Solicitation Date,Overseas,2/13/2018,50000000.0,99990000.0,2018-09-30,2018-04-15,2018-02-13
